Id,date,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Usage_kWh
1,1/1/2018 0:15,2.95,0,0,73.21,100,900,Weekday,Monday,Light_Load,3.17
2,1/1/2018 0:30,4.46,0,0,66.77,100,1800,Weekday,Monday,Light_Load,4
3,1/1/2018 0:45,3.28,0,0,70.28,100,2700,Weekday,Monday,Light_Load,3.24
4,1/1/2018 1:00,3.56,0,0,68.09,100,3600,Weekday,Monday,Light_Load,3.31
5,1/1/2018 1:15,4.5,0,0,64.72,100,4500,Weekday,Monday,Light_Load,3.82
6,1/1/2018 1:30,3.56,0,0,67.76,100,5400,Weekday,Monday,Light_Load,3.28
7,1/1/2018 1:45,4.14,0,0,65.62,100,6300,Weekday,Monday,Light_Load,3.6
8,1/1/2018 2:00,4.28,0,0,64.37,100,7200,Weekday,Monday,Light_Load,3.6
9,1/1/2018 2:15,3.64,0,0,66.94,100,8100,Weekday,Monday,Light_Load,3.28
10,1/1/2018 2:30,4.72,0,0,62.51,100,9000,Weekday,Monday,Light_Load,3.78
11,1/1/2018 2:45,4.03,0,0,65.14,100,9900,Weekday,Monday,Light_Load,3.46
12,1/1/2018 3:00,3.64,0,0,66.49,100,10800,Weekday,Monday,Light_Load,3.24
13,1/1/2018 3:15,4.97,0,0,62.32,100,11700,Weekday,Monday,Light_Load,3.96
14,1/1/2018 3:30,3.74,0,0,66.27,100,12600,Weekday,Monday,Light_Load,3.31
15,1/1/2018 3:45,3.85,0,0,65.19,100,13500,Weekday,Monday,Light_Load,3.31
16,1/1/2018 4:00,5,0,0,61.4,100,14400,Weekday,Monday,Light_Load,3.89
17,1/1/2018 4:15,3.82,0,0,65.14,100,15300,Weekday,Monday,Light_Load,3.28
18,1/1/2018 4:30,4.28,0,0,63.95,100,16200,Weekday,Monday,Light_Load,3.56
19,1/1/2018 4:45,4.54,0,0,63.58,100,17100,Weekday,Monday,Light_Load,3.74
20,1/1/2018 5:00,3.6,0,0,67.68,100,18000,Weekday,Monday,Light_Load,3.31
21,1/1/2018 5:15,4.07,0,0,65.84,100,18900,Weekday,Monday,Light_Load,3.56
22,1/1/2018 5:30,4.1,0,0,65.56,100,19800,Weekday,Monday,Light_Load,3.56
23,1/1/2018 5:45,3.49,0,0,68.48,100,20700,Weekday,Monday,Light_Load,3.28
24,1/1/2018 6:00,4.32,0,0,65.85,100,21600,Weekday,Monday,Light_Load,3.78
25,1/1/2018 6:15,3.64,0,0,67.72,100,22500,Weekday,Monday,Light_Load,3.35
26,1/1/2018 6:30,3.35,0,0,69.52,100,23400,Weekday,Monday,Light_Load,3.24
27,1/1/2018 6:45,4.46,0,0,65.73,100,24300,Weekday,Monday,Light_Load,3.89
28,1/1/2018 7:00,3.53,0,0,68.4,100,25200,Weekday,Monday,Light_Load,3.31
29,1/1/2018 7:15,3.49,0,0,68.48,100,26100,Weekday,Monday,Light_Load,3.28
30,1/1/2018 7:30,4.75,0,0,62.97,100,27000,Weekday,Monday,Light_Load,3.85
31,1/1/2018 7:45,3.6,0,0,66.44,100,27900,Weekday,Monday,Light_Load,3.2
32,1/1/2018 8:00,3.78,0,0,65.88,100,28800,Weekday,Monday,Light_Load,3.31
33,1/1/2018 8:15,4.75,0,0,62.27,100,29700,Weekday,Monday,Light_Load,3.78
34,1/1/2018 8:30,3.74,0,0,65.94,100,30600,Weekday,Monday,Light_Load,3.28
35,1/1/2018 8:45,4.46,0.18,0,61.63,99.87,31500,Weekday,Monday,Light_Load,3.49
36,1/1/2018 9:00,0,15.66,0,100,24.11,32400,Weekday,Monday,Light_Load,3.89
37,1/1/2018 9:15,0,16.96,0,100,20.76,33300,Weekday,Monday,Light_Load,3.6
38,1/1/2018 9:30,0,21.28,0,100,18.61,34200,Weekday,Monday,Light_Load,4.03
39,1/1/2018 9:45,0,19.22,0,100,19.98,35100,Weekday,Monday,Light_Load,3.92
40,1/1/2018 10:00,0,16.88,0,100,21.08,36000,Weekday,Monday,Light_Load,3.64
41,1/1/2018 10:15,0,22.32,0,100,17.94,36900,Weekday,Monday,Light_Load,4.07
42,1/1/2018 10:30,0,18,0,100,20.19,37800,Weekday,Monday,Light_Load,3.71
43,1/1/2018 10:45,0,16.92,0,100,20.81,38700,Weekday,Monday,Light_Load,3.6
44,1/1/2018 11:00,0,23.4,0,100,17.71,39600,Weekday,Monday,Light_Load,4.21
45,1/1/2018 11:15,0,5.65,0,100,52.55,40500,Weekday,Monday,Light_Load,3.49
46,1/1/2018 11:30,0,4.82,0,100,58.31,41400,Weekday,Monday,Light_Load,3.46
47,1/1/2018 11:45,0,6.7,0,100,51.26,42300,Weekday,Monday,Light_Load,4
48,1/1/2018 12:00,0,4.57,0,100,60.69,43200,Weekday,Monday,Light_Load,3.49
49,1/1/2018 12:15,0,12.89,0,100,26.9,44100,Weekday,Monday,Light_Load,3.6
50,1/1/2018 12:30,0,23.15,0,100,18.06,45000,Weekday,Monday,Light_Load,4.25
51,1/1/2018 12:45,0,16.67,0,100,21.5,45900,Weekday,Monday,Light_Load,3.67
